family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,n_events_tr_va,realized_cost_bps,gross_edge_bps,base_tool,threshold,k
2-bos,k8 cont eqfilt=False tgt2x hold15d,4h,6.0,12.0,360,55,-35.069069289697985,40.0,-19.287988109333888,-55.60432199009705,18,-182.24171301499084,33.33333333333333,-32.80350834269835,-38.8441639555373,108.0,164.0,FAIL,210,,,,,
2-bos,k8 cont eqfilt=False tgt3x hold5d,4h,6.0,18.0,120,98,118.03732185119956,45.91836734693878,115.67657541417557,-28.002308549640187,33,-81.21701570396738,42.42424242424242,-26.801615182309234,-34.0016635125884,120.0,91.93893129770993,FAIL,210,,,,,
2-bos,k8 cont eqfilt=False tgt3x hold15d,4h,6.0,18.0,360,55,19.928996764703864,38.18181818181819,10.960948220587131,-56.67058328591865,18,-141.43499096841288,33.33333333333333,-25.458298374314314,-35.56919169517598,144.0,188.32876712328766,FAIL,210,,,,,
2-bos,k8 choch eqfilt=False tgt2x hold5d,4h,6.0,12.0,120,112,-41.65729867140836,40.17857142857143,-46.65617451197737,-67.89307194673515,36,149.38157581299123,50.0,53.777367292676836,-20.13060461642545,120.0,95.75675675675676,FAIL,268,,,,,
2-bos,k8 choch eqfilt=False tgt2x hold15d,4h,6.0,12.0,360,64,-27.70603363069145,35.9375,-17.731861523642532,-54.58758307842153,20,-114.17350765241864,30.0,-22.834701530483727,-46.95208428932464,160.0,192.61904761904762,FAIL,268,,,,,
2-bos,k8 choch eqfilt=False tgt3x hold5d,4h,6.0,18.0,120,112,-34.81380815940611,40.17857142857143,-38.99146513853484,-62.23262452144156,36,165.0038924922831,50.0,59.40140129722191,-20.130604616425444,120.0,98.70270270270271,FAIL,268,,,,,
2-bos,k8 choch eqfilt=False tgt3x hold15d,4h,6.0,18.0,360,64,-7.474040684532838,34.375,-4.783386038101012,-57.2416214079192,20,-63.03797591394241,30.0,-12.607595182788478,-46.8537169922983,234.0,215.1904761904762,FAIL,268,,,,,
3-fvg,fill0.5 expire7d tgt2x,1h,0.25379649335858123,0.5075929867171625,168,189,-10.935706400138885,29.100529100529098,-20.66848509626249,-21.1178873520867,64,-18.37364641551298,20.3125,-11.759133705928305,-12.347397610078795,0.0,1.0316205533596838,FAIL,4905,,,,,
3-fvg,fill0.5 expire7d tgt3x,1h,0.25379649335858123,0.7613894800757437,168,189,-12.772536831168658,20.105820105820104,-24.14009461090877,-24.94941246532352,64,-13.76940322520926,20.3125,-8.812418064133931,-10.103196176708302,0.0,1.6561264822134387,FAIL,4905,,,,,
3-fvg,fill1.0 expire7d tgt2x,1h,0.25,0.5,168,189,-13.575185134922375,24.867724867724867,-25.65709990500329,-25.65709990500329,64,-1.4567806207800231,42.1875,-0.9323395972992143,-5.036560894004534,0.0,0.9960474308300395,FAIL,4507,,,,,
3-fvg,fill1.0 expire7d tgt3x,1h,0.25,0.75,168,189,-13.169702951934495,19.576719576719576,-24.890738579156192,-24.890738579156196,64,0.7480876409625523,34.375,0.4787760902160265,-5.030535695864324,0.0,1.4782608695652173,FAIL,4507,,,,,
3-fvg,fill0.5 expire14d tgt2x,1h,0.25379649335858123,0.5075929867171625,336,97,-14.755197164903535,24.742268041237114,-14.312541249956434,-14.312541249956428,33,-15.935647695609077,24.242424242424242,-5.258763739550998,-5.355061786455635,0.0,0.9538461538461539,FAIL,4905,,,,,
3-fvg,fill0.5 expire14d tgt3x,1h,0.25379649335858123,0.7613894800757437,336,97,-16.123693124613993,17.525773195876287,-15.639982330875569,-15.639982330875574,33,-10.184876631752559,24.242424242424242,-3.361009288478345,-3.9703703865675366,0.0,1.353846153846154,FAIL,4905,,,,,
3-fvg,fill1.0 expire14d tgt2x,1h,0.25,0.5,336,97,-11.696227272202037,28.865979381443296,-11.345340454035979,-11.80199855798242,33,-18.142495264787584,21.21212121212121,-5.987023437379902,-6.844662401563994,0.0,1.1692307692307693,FAIL,4507,,,,,
3-fvg,fill1.0 expire14d tgt3x,1h,0.25,0.75,336,97,-13.104317554477056,20.618556701030926,-12.711188027842745,-12.711188027842745,33,-16.216543108668315,18.181818181818183,-5.351459225860545,-6.679848552400978,0.0,1.6307692307692307,FAIL,4507,,,,,
3-fvg,fill0.5 expire7d tgt2x,4h,0.6926310907679434,1.3852621815358868,168,162,-14.021297848282678,30.246913580246915,-22.714502514217937,-24.55477304903682,55,-10.228697217732934,32.72727272727273,-5.6257834697531095,-8.84534591558997,0.0,4.202764976958525,FAIL,1145,,,,,
3-fvg,fill0.5 expire7d tgt3x,4h,0.6926310907679434,2.07789327230383,168,162,-12.876198534025779,23.456790123456788,-20.859441625121768,-26.164308214158527,55,-8.60011960261254,25.454545454545453,-4.730065781436899,-8.13029955510002,0.0,6.341013824884793,FAIL,1145,,,,,
3-fvg,fill1.0 expire7d tgt2x,4h,0.5604401254563217,1.1208802509126434,168,163,-12.290019342120159,30.67484662576687,-20.032731527655855,-23.390992774875937,54,-2.655014005823028,37.03703703703704,-1.4337075631444374,-8.768666470556658,0.0,3.2442396313364057,FAIL,1027,,,,,
3-fvg,fill1.0 expire7d tgt3x,4h,0.5604401254563217,1.6813203763689653,168,163,-14.59583217853732,22.085889570552148,-23.791206451015835,-26.039338978693667,54,0.7990692910945856,29.629629629629626,0.4314974171910846,-9.108498141460258,0.0,5.216589861751152,FAIL,1027,,,,,
3-fvg,fill0.5 expire14d tgt2x,4h,0.6926310907679434,1.3852621815358868,336,90,-14.976264244950046,30.0,-13.478637820455042,-16.61523644833017,31,-24.86411695434676,25.806451612903224,-7.70787625584749,-9.41463899166206,0.0,4.793388429752066,FAIL,1145,,,,,
3-fvg,fill0.5 expire14d tgt3x,4h,0.6926310907679434,2.07789327230383,336,90,-4.79758951990142,26.666666666666668,-4.317830567911274,-13.156249351905613,31,-33.69264941144473,16.129032258064516,-10.444721317547867,-13.328353533574012,0.0,6.710743801652892,FAIL,1145,,,,,
3-fvg,fill1.0 expire14d tgt2x,4h,0.5604401254563217,1.1208802509126434,336,89,-32.10675848366679,16.853932584269664,-28.57501505046345,-30.608044556812313,31,-10.885896791477153,32.25806451612903,-3.374628005357916,-6.174079628419793,0.0,2.5,FAIL,1027,,,,,
3-fvg,fill1.0 expire14d tgt3x,4h,0.5604401254563217,1.6813203763689653,336,89,-31.020318274729057,13.48314606741573,-27.608083264508863,-31.55738179000221,31,-15.073219184604598,22.58064516129032,-4.672697947227422,-9.489882797841217,0.0,4.2,FAIL,1027,,,,,
3-fvg,fill0.5 expire7d tgt2x,15m,0.25,0.5,168,197,-7.928336052358322,33.50253807106599,-15.618822023145896,-15.618822023145896,66,-8.532464580800314,33.33333333333333,-5.631426623328206,-5.631426623328207,0.5,1.456273764258555,FAIL,23575,8.161302140718245,0.08135968958740847,,,
