family,config,tf,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,oscillator,k,flavor,buffer_pct,stop_pct,target_pct,max_hold_h,filter_name,exit_n,setup,trigger,level,cost_bps_per_trade,clears_9bps_floor
2-oscillator-overlay,donchian20/20 + ALL combined (ADX>=20 & Stoch<80 & RSI40-70),1h,32,-28.30801678250498,18.75,-9.058565370401595,-33.240574710747886,15,-88.52907664096601,33.33333333333333,-13.279361496144904,-18.01703277934815,27.0,47.680851063829785,FAIL,,,,,,,,ALL combined (ADX>=20 & Stoch<80 & RSI40-70),20.0,,,,,
3-mtf-alignment,RSI3<10 pullback / 1h reversal bar / setup-only / tgt2x,1h,376,-14.9391332936994,29.78723404255319,-56.17114118430975,-60.17774849050011,128,-23.009498471561955,27.34375,-29.452158043599297,-35.912615527178446,4.0,8.523809523809524,FAIL,,,,,0.9711253258257933,1.9422506516515865,72.0,,,RSI3<10 pullback,1h reversal bar,setup-only,,
3-mtf-alignment,RSI3<10 pullback / 1h reversal bar / setup-only / tgt3x,1h,376,-11.222783419298688,25.53191489361702,-42.19766565656307,-52.60744188115469,128,-14.274868595640775,23.4375,-18.27183180242019,-29.777960712468342,5.0,11.204365079365079,FAIL,,,,,0.9711253258257933,2.9133759774773798,72.0,,,RSI3<10 pullback,1h reversal bar,setup-only,,
3-mtf-alignment,RSI3<10 pullback / 1h reversal bar / bias+setup / tgt2x,1h,193,-18.302488195957903,29.533678756476682,-35.32380221819875,-37.14751581639422,77,-8.4209737720893,33.76623376623377,-6.484149804508766,-16.2231090635798,3.0,6.614814814814815,FAIL,,,,,0.9711253258257933,1.9422506516515865,72.0,,,RSI3<10 pullback,1h reversal bar,bias+setup,,
3-mtf-alignment,RSI3<10 pullback / 1h reversal bar / bias+setup / tgt3x,1h,193,-20.68578581159691,21.761658031088082,-39.92356661638205,-42.94110556229434,77,8.144083047711792,29.87012987012987,6.270943946738083,-11.357260218592918,3.0,9.248148148148148,FAIL,,,,,0.9711253258257933,2.9133759774773798,72.0,,,RSI3<10 pullback,1h reversal bar,bias+setup,,
3-mtf-alignment,RSI3<10 pullback / 1h reversal bar / full / tgt2x,1h,9,23.794224644530306,44.44444444444444,2.1414802180077297,-3.20393656797677,7,18.552795180581338,42.857142857142854,1.298695662640692,-2.207738865651315,4.0,8.3125,INSUFFICIENT-SAMPLE,,,,,0.9711253258257933,1.9422506516515865,72.0,,,RSI3<10 pullback,1h reversal bar,full,,
3-mtf-alignment,RSI3<10 pullback / 1h reversal bar / full / tgt3x,1h,9,-63.15563953415262,11.11111111111111,-5.684007558073734,-6.453890693976742,7,60.51946645815796,42.857142857142854,4.236362652071057,-2.207738865651293,7.0,10.25,FAIL,,,,,0.9711253258257933,2.9133759774773798,72.0,,,RSI3<10 pullback,1h reversal bar,full,,
3-mtf-alignment,RSI3<10 pullback / 15m EMA9 recross / setup-only / tgt2x,15m,379,-8.885887438963472,31.926121372031663,-33.67751339367157,-38.64745996875063,127,-7.64895561349038,33.85826771653544,-9.714173629132784,-11.96829745649756,1.0,2.4323122529644268,FAIL,,,,,0.43356792623966667,0.8671358524793333,72.0,,,RSI3<10 pullback,15m EMA9 recross,setup-only,8.734571994449826,True
3-mtf-alignment,RSI3<10 pullback / 15m EMA9 recross / setup-only / tgt3x,15m,379,-8.937621498410351,24.274406332453825,-33.87358547897523,-41.36017513219785,127,-15.753662724409091,20.47244094488189,-20.007151659999543,-21.60324191383946,1.25,3.361166007905138,FAIL,,,,,0.43356792623966667,1.300703778719,72.0,,,RSI3<10 pullback,15m EMA9 recross,setup-only,9.374027742283713,False
3-mtf-alignment,RSI3<10 pullback / 15m EMA9 recross / bias+setup / tgt2x,15m,188,-10.550820397320832,31.382978723404253,-19.835542346963166,-20.05630678429224,75,-20.078717001460877,24.0,-15.05903775109566,-16.52623224833053,0.75,2.1036121673003803,FAIL,,,,,0.43356792623966667,0.8671358524793333,72.0,,,RSI3<10 pullback,15m EMA9 recross,bias+setup,8.966195525423034,True
3-mtf-alignment,RSI3<10 pullback / 15m EMA9 recross / bias+setup / tgt3x,15m,188,-11.325200159324789,23.404255319148938,-21.291376299530608,-21.964514115287834,75,-21.526965838456114,17.333333333333336,-16.145224378842084,-18.987933769234747,1.0,2.6634980988593155,FAIL,,,,,0.43356792623966667,1.300703778719,72.0,,,RSI3<10 pullback,15m EMA9 recross,bias+setup,9.492687451818943,False
3-mtf-alignment,RSI3<10 pullback / 15m EMA9 recross / full / tgt2x,15m,126,-14.20555764649509,28.57142857142857,-17.899002634583816,-20.051735985530286,60,-4.276915372638389,36.666666666666664,-2.5661492235830363,-5.777018792997972,1.0,2.3978494623655915,FAIL,,,,,0.43356792623966667,0.8671358524793333,72.0,,,RSI3<10 pullback,15m EMA9 recross,full,8.817458147070154,True
3-mtf-alignment,RSI3<10 pullback / 15m EMA9 recross / full / tgt3x,15m,126,-13.7846361837218,22.22222222222222,-17.368641591489464,-20.519880734031005,60,-3.571722602000106,28.333333333333332,-2.1430335612000584,-7.092278407425007,1.25,3.1881720430107525,FAIL,,,,,0.43356792623966667,1.300703778719,72.0,,,RSI3<10 pullback,15m EMA9 recross,full,9.30731526473786,False
3-mtf-alignment,RSI3<15 pullback / 1h reversal bar / setup-only / tgt2x,1h,412,-0.5054662094408714,36.650485436893206,-2.082520782896391,-26.352530548170606,139,0.6546483822529409,36.69064748201439,0.9099612513315813,-14.127761140889444,4.0,9.627949183303086,FAIL,,,,,0.9711253258257933,1.9422506516515865,72.0,,,RSI3<15 pullback,1h reversal bar,setup-only,,
3-mtf-alignment,RSI3<15 pullback / 1h reversal bar / setup-only / tgt3x,1h,412,1.9280601786677145,29.36893203883495,7.943607936110975,-18.728935722830453,139,4.586734276120159,28.776978417266186,6.375560643807021,-12.68652305146186,6.0,12.918330308529946,SURVIVOR,,,,,0.9711253258257933,2.9133759774773798,72.0,,,RSI3<15 pullback,1h reversal bar,setup-only,,
3-mtf-alignment,RSI3<15 pullback / 1h reversal bar / bias+setup / tgt2x,1h,245,3.1208360673874043,37.95918367346939,7.646048365099145,-14.628528534713004,91,4.93087443415123,38.46153846153847,4.4870957350776175,-11.389788592514945,4.0,7.875,SURVIVOR,,,,,0.9711253258257933,1.9422506516515865,72.0,,,RSI3<15 pullback,1h reversal bar,bias+setup,,
