family,config,symbol,train_trades,train_$per_trade,train_pct_of_position,train_cost_multiple,train_win_pct,train_worst_drop_pct,val_trades,val_$per_trade,val_pct_of_position,val_cost_multiple,val_win_pct,verdict,E,H,filter,rsi_n,thresh,gate_pct,orig_constant,lookback,exit_ma
B-turn-of-month,"buy 1 days before month end, hold 4 days, no filter",SPY,230,37.79,0.2966,7.42,55.7,-23.6,81,-6.26,-0.0487,-1.22,55.6,FAIL,1.0,4.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 4 days, only above 200-day avg",SPY,158,38.13,0.3166,7.92,57.0,-11.2,72,-9.09,-0.0808,-2.02,54.2,FAIL,1.0,4.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 5 days, no filter",SPY,230,39.9,0.3141,7.85,58.3,-26.4,81,12.89,0.1374,3.43,55.6,SURVIVOR,1.0,5.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 5 days, only above 200-day avg",SPY,158,56.6,0.4273,10.68,60.8,-15.4,72,9.39,0.1019,2.55,54.2,SURVIVOR,1.0,5.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 6 days, no filter",SPY,230,30.04,0.2672,6.68,60.9,-32.9,81,21.94,0.2184,5.46,58.0,SURVIVOR,1.0,6.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 6 days, only above 200-day avg",SPY,158,59.46,0.4443,11.11,63.9,-17.7,72,19.5,0.1945,4.86,56.9,SURVIVOR,1.0,6.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 7 days, no filter",SPY,230,18.26,0.195,4.88,56.5,-36.6,81,21.75,0.2214,5.54,54.3,SURVIVOR,1.0,7.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 7 days, only above 200-day avg",SPY,158,52.74,0.4146,10.36,60.8,-21.8,72,22.68,0.2264,5.66,54.2,SURVIVOR,1.0,7.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 8 days, no filter",SPY,230,1.46,0.069,1.72,57.8,-58.1,81,43.64,0.3956,9.89,60.5,SURVIVOR,1.0,8.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 8 days, only above 200-day avg",SPY,158,41.16,0.3476,8.69,62.0,-21.5,72,42.1,0.3856,9.64,61.1,SURVIVOR,1.0,8.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 2 days, no filter",SPY,230,3.05,0.0446,1.12,54.3,-17.1,81,5.12,0.0559,1.4,50.6,SURVIVOR,2.0,2.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 2 days, only above 200-day avg",SPY,152,5.54,0.0621,1.55,55.3,-11.7,73,-1.62,-0.0122,-0.3,49.3,FAIL,2.0,2.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 3 days, no filter",SPY,230,30.82,0.2536,6.34,60.0,-18.8,81,5.16,0.0586,1.46,51.9,SURVIVOR,2.0,3.0,no filter,,,,,,
