family,indicator,tf,eye_direction,eye_state,eye_tr_n,eye_tr_exp,eye_va_n,eye_va_exp,eye_va_win_pct,eye_va_ret_pct,eye_verdict,ungated_tr_n,ungated_tr_exp,ungated_va_n,ungated_va_exp,ungated_verdict,atr_gate_dir,atr_tr_n,atr_tr_exp,atr_va_n,atr_va_exp,control_n_draws,control_mean_va_exp,control_median_va_exp,control_pct_beat_eye,control_pct_beat_ungated
trend,Vortex VI+/VI- cross,15m,short,transition|at range high|messy|contracting,106,11.9539,40,-11.7803,35.0,-4.71,FAIL,15324,-0.6512,4811,-1.7487,FAIL,below,1312,-4.958859575819919,372,-11.022368962417886,20,-3.290625,-2.76355,0.7,0.45
trend,Vortex VI+/VI- cross,1h,long,downtrend|pulling back in trend|clean|expanding,45,58.0947,17,6.9805,47.06,1.19,SURVIVOR,3963,1.562,1210,-0.9526,FAIL,above,352,7.27685022242209,168,-8.193502085638935,20,-6.302695,-3.8066999999999998,0.45,0.5
volatility,BB-inside-KC squeeze release,15m,long,transition|mid range|clean|contracting,22,21.9344,5,-15.0765,40.0,-0.75,UNRELIABLE,3074,-2.6452,1085,-3.5299,FAIL,above,418,-6.638688357960502,231,-5.5405133221979215,20,-12.378950000000001,-23.8752,0.35,0.3
volatility,BB-inside-KC squeeze release,1h,short,transition|at range low|messy|contracting,28,33.9114,4,-128.863,0.0,-5.15,UNRELIABLE,804,5.1173,263,0.1924,SURVIVOR,above,140,15.901090348394765,65,5.270649790336813,20,-7.980079999999998,-7.423,1.0,0.35
volatility,Bollinger breakout,15m,short,transition|at range low|clean|contracting,28,9.4619,8,-43.3608,12.5,-3.47,FAIL,4858,-1.9689,1630,-3.5299,FAIL,below,933,-5.483868127118659,251,-13.120935295830295,20,-29.007374999999996,-20.7338,0.6,0.1
volatility,Bollinger breakout,1h,long,uptrend|at range high|messy|expanding,28,16.4472,7,-24.3858,42.86,-1.71,UNRELIABLE,1256,4.2692,407,-1.8498,FAIL,above,191,-1.9346506624038282,108,-8.777098316292639,20,-24.232075000000002,12.7582,0.6,0.6
volatility,Bollinger mean-revert,15m,short,transition|at range high|messy|contracting,30,6.0092,7,-6.6286,42.86,-0.46,UNRELIABLE,4858,-1.6848,1630,-2.9259,FAIL,above,641,-3.0009762780775047,310,-3.5780492009933016,20,12.54516,6.9521,0.65,0.65
volatility,Bollinger mean-revert,1h,long,transition|at range low|clean|expanding,32,17.3832,9,-20.0145,33.33,-1.8,FAIL,1256,-7.1797,407,-8.2371,FAIL,above,226,-7.203413852823481,96,-32.72012422133577,20,10.664794999999998,-9.7538,0.6,0.45
volatility,Chandelier exit,15m,short,transition|at range high|messy|contracting,22,4.7959,3,47.9926,66.67,1.44,UNRELIABLE,13953,-0.7165,3092,-2.2514,FAIL,below,1094,-5.903555302348242,252,-9.525846231730254,20,-1.314085,-0.9175499999999999,0.0,0.5
volatility,Chandelier exit,1h,short,transition|at range low|messy|contracting,25,73.7116,5,-2.9172,40.0,-0.15,UNRELIABLE,2742,-2.9346,794,-4.3332,FAIL,below,350,6.902097915472566,82,-7.799350577529189,20,0.38390499999999966,0.19330000000000003,0.55,0.55
