tool,cell,tr_n,tr_exp,va_n,va_exp,verdict
T5-strikes-rsi3-dip,UNCONDITIONAL,220,53.13385385642708,76,26.92176405987716,BASELINE
T5-strikes-rsi3-dip,trending-up×quiet,25,8.652274523314409,10,-84.91121379168271,FADED
T5-strikes-rsi3-dip,trending-up×normal,128,19.50476276632645,52,0.6620568635074121,HOT
T5-strikes-rsi3-dip,trending-up×violent,46,37.833329118514996,16,27.766947525560568,HOT
T5-strikes-rsi3-dip,trending-down×quiet,0,0.0,0,,UNRELIABLE
T5-strikes-rsi3-dip,trending-down×normal,0,0.0,0,,UNRELIABLE
T5-strikes-rsi3-dip,trending-down×violent,0,0.0,0,,UNRELIABLE
T5-strikes-rsi3-dip,ranging×quiet,12,87.32540443920425,0,,UNRELIABLE
T5-strikes-rsi3-dip,ranging×normal,42,-27.02260570611807,0,,COLD
T5-strikes-rsi3-dip,ranging×violent,16,-78.28681655814728,0,,COLD
T5-strikes-rsi3-dip,trending-up×quiet×asia,2,133.0668949290939,0,,UNRELIABLE
T5-strikes-rsi3-dip,trending-up×quiet×london,5,-106.08025160429933,0,,UNRELIABLE
T5-strikes-rsi3-dip,trending-up×quiet×newyork,5,-43.71338169632509,0,,UNRELIABLE
T5-strikes-rsi3-dip,trending-up×quiet×off-hours,2,-159.69124589751482,0,,UNRELIABLE
T5-strikes-rsi3-dip,trending-up×quiet×weekend,15,26.187492701276764,10,-84.91121379168271,FADED
T5-strikes-rsi3-dip,trending-up×normal×asia,52,6.02167760017626,24,-65.51764979285296,FADED
T5-strikes-rsi3-dip,trending-up×normal×london,58,2.2379420735425244,18,-25.98364129207544,FADED
T5-strikes-rsi3-dip,trending-up×normal×newyork,64,-12.077523110556172,0,,COLD
T5-strikes-rsi3-dip,trending-up×normal×off-hours,29,-72.48638447927354,0,,COLD
T5-strikes-rsi3-dip,trending-up×normal×weekend,41,4.327286297347799,15,-20.994731812258518,FADED
T5-strikes-rsi3-dip,trending-up×violent×asia,24,163.95691247843388,6,36.592702757046936,THIN-VAL
T5-strikes-rsi3-dip,trending-up×violent×london,15,75.83378387864371,4,137.72306234120106,THIN-VAL
T5-strikes-rsi3-dip,trending-up×violent×newyork,23,85.86601835302858,10,-55.951604125454104,FADED
T5-strikes-rsi3-dip,trending-up×violent×off-hours,8,-36.40871875245898,0,,UNRELIABLE
T5-strikes-rsi3-dip,trending-up×violent×weekend,14,40.79360585791541,0,,UNRELIABLE
T5-strikes-rsi3-dip,trending-down×quiet×asia,0,0.0,0,,UNRELIABLE
