family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,trades_yr,verdict,mean_ret_pct,tstat,win_pct
3a-bos-choch,k=8 struct=wick mode=both R2.5,ES,1h,1.0271595798824782,2.5678989497061955,237,-5.148779866538063,45.56962025316456,-12.202608283695204,-15.406724431888053,90.0,-7.311087199460053,45.55555555555556,-6.579978479514049,-8.41073663460104,13.0,18.428134556574925,170.60361861683134,FAIL,,,
3a-bos-choch,k=8 struct=body mode=cont R1.5,ES,1h,0.7690915598218558,1.1536373397327837,169,-2.9447540840561843,45.562130177514796,-4.9766344020549464,-8.02591207759261,55.0,-1.9531615150091965,49.09090909090909,-1.074238833255059,-4.270174546480946,13.0,17.125,116.86608737055113,FAIL,,,
3a-bos-choch,k=8 struct=body mode=cont R2.5,ES,1h,0.7690915598218558,1.9227288995546397,169,-2.3336818012974176,45.562130177514796,-3.9439222441926325,-7.717031424394809,55.0,-3.559284931944917,47.27272727272727,-1.9576067125697039,-5.261233644743389,13.0,17.9375,116.86608737055113,FAIL,,,
3a-bos-choch,k=8 struct=body mode=choch R1.5,ES,1h,0.8473875661375662,1.2710813492063493,139,-3.6218958433126045,46.76258992805755,-5.034435222204525,-7.798875797424321,54.0,-1.7244665312670164,50.0,-0.9312119268841901,-4.920364546809848,13.0,16.639896373056995,100.69265563623378,FAIL,,,
3a-bos-choch,k=8 struct=body mode=choch R2.5,ES,1h,0.8473875661375662,2.1184689153439153,139,-2.4457442863312013,46.76258992805755,-3.399584558000368,-7.148867154773578,54.0,-1.923117995656833,50.0,-1.0384837176546924,-5.0193360318918385,13.0,16.821243523316063,100.69265563623378,FAIL,,,
3a-bos-choch,k=8 struct=body mode=both R1.5,ES,1h,0.7929047288184085,1.1893570932276127,272,-3.9657039757467722,44.85294117647059,-10.786714814031217,-15.677210133838138,95.0,-2.454615697633103,50.526315789473685,-2.3318849127514474,-5.8642958462666535,13.0,16.57493188010899,191.47256279014402,FAIL,,,
3a-bos-choch,k=8 struct=body mode=both R2.5,ES,1h,0.7929047288184085,1.982261822046021,272,-3.7116425717706467,44.85294117647059,-10.095667795216157,-15.154007438788438,95.0,-4.1823662547834255,49.473684210526315,-3.9732479420442557,-7.2502516270093045,13.0,17.21798365122616,191.47256279014402,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=cont R1.5,QQQ,1h,1.9141061644742903,2.8711592467114353,70,17.397686513032646,51.42857142857142,12.178380559122859,-9.752636289430106,25.0,-31.460637809407928,52.0,-7.865159452351977,-8.104715391938731,46.0,55.61052631578947,40.82005784030195,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=cont R2.5,QQQ,1h,1.9141061644742903,4.785265411185725,70,21.646690178326182,51.42857142857142,15.152683124828336,-9.752636289429976,25.0,-31.460637809407928,52.0,-7.865159452351977,-8.104715391938731,46.0,55.73684210526316,40.82005784030195,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=choch R1.5,QQQ,1h,1.9882172164615135,2.9823258246922704,67,-14.52064227594524,46.26865671641791,-9.728830324883308,-16.46915468021156,25.0,9.925607825594998,60.0,2.4814019563987433,-4.040157348148883,29.0,48.28260869565217,39.53100338218715,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=choch R2.5,QQQ,1h,1.9882172164615135,4.970543041153784,67,-16.891760240008345,46.26865671641791,-11.317479360805594,-18.2304911326601,25.0,9.925607825594998,60.0,2.4814019563987433,-4.040157348148883,45.0,48.81521739130435,39.53100338218715,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=both R1.5,QQQ,1h,1.9268070448599879,2.890210567289982,120,-7.761437585017605,47.5,-9.313725102021131,-14.95536356633206,45.0,-15.999898562399418,53.333333333333336,-7.1999543530797405,-7.628191564116041,46.0,52.484848484848484,70.89799519631391,FAIL,,,
