name,n_tr,n_va,mean_tr,mean_va,R_tr,R_va,win_tr,stop_tr,lev_at_1pct,thick_x,verdict,extra
"sweep overnight high -> BOS short 09:30-10:30, target 1R",427,108,-0.04808038387039258,-0.03888880880489151,-0.35615015833530267,-0.18249473481668924,44.96487119437939,0.2613354817492138,3.8264991546751896,-1.2020095967598146,reject,
"sweep overnight high -> BOS short 09:30-10:30, target 2R",427,108,-0.06213622154171025,-0.010589608419368164,-0.40871464647848166,-0.07670364537817127,30.913348946135834,0.2613354817492138,3.8264991546751896,-1.5534055385427563,reject,
"sweep overnight high -> BOS short 09:30-10:30, target 3R",427,108,-0.053748913160124666,-0.022140900310398986,-0.40085268181618466,-0.07511718274971958,27.166276346604217,0.2613354817492138,3.8264991546751896,-1.3437228290031167,reject,
"sweep overnight high -> BOS short 09:30-12:00, hold to close",1391,420,-0.04036481853951144,-0.052812248899430266,-0.37692684220968886,-0.0887589950711412,25.089863407620417,0.2126101238701614,4.703444886804585,-1.009120463487786,reject,
"sweep overnight high -> BOS short 09:30-12:00, target 1R",1391,420,-0.044487785275405214,-0.04910041958301165,-0.4215718457774966,-0.313245831367234,46.29762760603882,0.2126101238701614,4.703444886804585,-1.1121946318851303,reject,
"sweep overnight high -> BOS short 09:30-12:00, target 2R",1391,420,-0.04572524377432137,-0.05594203900977771,-0.39800014825445273,-0.31820159471002374,33.57296908698778,0.2126101238701614,4.703444886804585,-1.1431310943580342,reject,
"sweep overnight high -> BOS short 09:30-12:00, target 3R",1391,420,-0.03890040801334654,-0.053526407628480724,-0.3629904750763359,-0.292536406865092,29.259525521207763,0.2126101238701614,4.703444886804585,-0.9725102003336634,reject,
"sweep overnight high -> BOS short all session, hold to close",4507,1299,-0.03880372387427113,-0.04241883260152924,-0.9052863543810253,-0.3366246030360557,24.717106722875528,0.16707577578495475,5.985308135196763,-0.9700930968567784,reject,
"sweep overnight high -> BOS short all session, target 1R",4507,1299,-0.04248475467724382,-0.048386105471865754,-0.9668582599292789,-0.6245117940970633,40.18193920568005,0.16707577578495475,5.985308135196763,-1.0621188669310955,reject,
"sweep overnight high -> BOS short all session, target 2R",4507,1299,-0.042429557870268156,-0.05329831676251525,-0.9579631272293115,-0.6253244960945933,31.129354337696917,0.16707577578495475,5.985308135196763,-1.0607389467567039,reject,
"sweep overnight high -> BOS short all session, target 3R",4507,1299,-0.040305247056730116,-0.05065260842933453,-0.9428739669345394,-0.5965234825851157,27.66807188817395,0.16707577578495475,5.985308135196763,-1.0076311764182528,reject,
"sweep opening-range low -> BOS long 09:30-10:30, hold to close",150,64,0.048340500532071166,0.0010457426243970832,-0.12029013734783078,-0.12286394535228223,36.0,0.28588282480053484,3.4979366133579957,1.2085125133017791,reject,
"sweep opening-range low -> BOS long 09:30-10:30, target 1R",150,64,-0.004686331149067768,0.026437026007163758,-0.19009372181165418,-0.017268262493437936,50.66666666666667,0.28588282480053484,3.4979366133579957,-0.1171582787266942,reject,
"sweep opening-range low -> BOS long 09:30-10:30, target 2R",150,64,0.04417352243113166,-0.018051256574290818,-0.11536976848280305,-0.18476018832691796,39.33333333333333,0.28588282480053484,3.4979366133579957,1.1043380607782913,reject,
"sweep opening-range low -> BOS long 09:30-10:30, target 3R",150,64,0.04654998022109641,-0.013832151720765636,-0.1337963541427029,-0.1742923676148596,36.0,0.28588282480053484,3.4979366133579957,1.1637495055274103,reject,
